,igbvl,tc,cobre,r_igbvl,r_cobre,d_tc
2015-04-01,13366.86,3.1199525,2.8864998817443848,-0.02240904759044318,0.1326161322418869,0.0373655158005268
2015-05-01,13180.61,3.15045,2.759500026702881,-0.0140316991310144,-0.04499514097620775,0.009727522430764033
2015-06-01,13113.17,3.16123809523809,2.623500108718872,-0.005129741549979649,-0.05054016798910675,0.0034184533775915944
2015-07-01,11987.88,3.18125,2.367500066757202,-0.08972092930491235,-0.10267477130958624,0.0063104481618151045
2015-08-01,10340.55,3.23835714285714,2.3380000591278076,-0.14782308023927862,-0.01253868593565025,0.01779194521812717
2015-09-01,10030.57,3.21861363636364,2.3454999923706055,-0.030435629284453383,0.003202707193810562,-0.006115427403940253
2015-10-01,10545.69,3.248375,2.313499927520752,0.05007981577436989,-0.01373709749750922,0.009204152169081095
2015-12-01,9848.59,3.38266666666667,2.125499963760376,-0.06838894791560794,-0.08475444626930818,0.040509481768962886
2016-01-01,9391.84,3.437325,2.063999891281128,-0.04748707056383383,-0.029361256821335897,0.016029199536942127
2016-02-01,10742.19,3.50590476190476,2.128499984741211,0.13433775174279777,0.030771704171827917,0.019755069207263252
2016-03-01,12057.93,3.40738095238095,2.18149995803833,0.11554355586755652,0.02459519522901909,-0.028504674773716692
2016-04-01,13702.47,3.30154761904762,2.2790000438690186,0.12785357377838125,0.04372407516649746,-0.031552613032630634
2016-06-01,13856.9,3.31657142857143,2.194499969482422,0.011207194967057538,-0.03778255327302813,0.004540213079734329
2016-07-01,15210.97,3.29873684210526,2.2204999923706055,0.09323357454944606,0.011778176074370372,-0.005391927010798584
2016-08-01,15130.24,3.33304545454545,2.069499969482422,-0.005321487871500442,-0.07042537485383292,0.010346816884296837
2016-09-01,15296.98,3.38229545454546,2.2019999027252197,0.010960033095128064,0.062058976664541146,0.014668170595207563
2016-10-01,15171.04,3.38595238095238,2.200500011444092,-0.008267075922568898,-0.0006813816551507316,0.0010806125460114438
2016-11-01,15414.97,3.40289473684211,2.621500015258789,0.015950767808078404,0.17506206638139638,0.0049912424801395175
2016-12-01,15566.96,3.39535714285714,2.497499942779541,0.009811604332406687,-0.04845647022160668,-0.0022175103856414686
2017-02-01,15766.12,3.259825,2.7039999961853027,0.01271261441195428,0.07944194814048035,-0.040735439239588556
2017-03-01,15757.01,3.26373913043478,2.6465001106262207,-0.0005779883059591666,-0.02149410265310004,0.0011999976780216201
2017-04-01,15559.3,3.24736111111111,2.5964999198913574,-0.01262681502651657,-0.01907370066716937,-0.0050308099272761584
2017-05-01,16000.08,3.27286363636364,2.5769999027252197,0.02793519163551745,-0.007538459526755551,0.007822630749484413
2017-06-01,16132.87,3.2678,2.6989998817443848,0.008265083406532054,0.04625539629833109,-0.0015483558417897685
